year,month,category,act_type,type,count,parsing_date
1990,6,Other acts,Commission decisions,basic,68,2025-07-01 00:02:53
1990,6,Other acts,Commission decisions,amending,6,2025-07-01 00:02:53
1990,6,Other acts,European Central Bank regulations,basic,0,2025-07-01 00:02:53
1990,6,Other acts,European Central Bank regulations,amending,0,2025-07-01 00:02:53
1990,6,Other acts,European Central Bank decisions,basic,0,2025-07-01 00:02:53
1990,6,Other acts,European Central Bank decisions,amending,0,2025-07-01 00:02:53
1990,6,Other acts,European Central Bank guidelines****,basic,0,2025-07-01 00:02:53
1990,6,Other acts,European Central Bank guidelines****,amending,0,2025-07-01 00:02:53
1990,6,Other acts,European Central Bank recommendations,basic,0,2025-07-01 00:02:53
1990,6,Other acts,European Central Bank recommendations,amending,0,2025-07-01 00:02:53
1990,6,Other acts,European Central Bank opinions,basic,0,2025-07-01 00:02:53
1990,6,Other acts,European Central Bank opinions,amending,0,2025-07-01 00:02:53
1990,7,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,basic,0,2025-07-01 00:02:53
1990,7,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,amending,0,2025-07-01 00:02:53
1990,7,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,basic,0,2025-07-01 00:02:53
1990,7,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,amending,0,2025-07-01 00:02:53
1990,7,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,basic,0,2025-07-01 00:02:53
1990,7,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,amending,0,2025-07-01 00:02:53
1990,7,Other legislative acts,Council regulations,basic,28,2025-07-01 00:02:53
1990,7,Other legislative acts,Council regulations,amending,19,2025-07-01 00:02:53
1990,7,Other legislative acts,Council directives,basic,2,2025-07-01 00:02:53
1990,7,Other legislative acts,Council directives,amending,3,2025-07-01 00:02:53
1990,7,Other legislative acts,Council decisions,basic,7,2025-07-01 00:02:53
1990,7,Other legislative acts,Council decisions,amending,12,2025-07-01 00:02:53
1990,7,Non-legislative acts - Delegated acts,Commission delegated regulations,basic,0,2025-07-01 00:02:53
1990,7,Non-legislative acts - Delegated acts,Commission delegated regulations,amending,0,2025-07-01 00:02:53
1990,7,Non-legislative acts - Delegated acts,Commission delegated directives,basic,0,2025-07-01 00:02:53
1990,7,Non-legislative acts - Delegated acts,Commission delegated directives,amending,0,2025-07-01 00:02:53
1990,7,Non-legislative acts - Delegated acts,Commission delegated decisions,basic,0,2025-07-01 00:02:53
1990,7,Non-legislative acts - Delegated acts,Commission delegated decisions,amending,0,2025-07-01 00:02:53
1990,7,Implementing acts,Council implementing regulations,basic,0,2025-07-01 00:02:53
1990,7,Implementing acts,Council implementing regulations,amending,0,2025-07-01 00:02:53
1990,7,Implementing acts,Council implementing decisions,basic,0,2025-07-01 00:02:53
1990,7,Implementing acts,Council implementing decisions,amending,0,2025-07-01 00:02:53
1990,7,Implementing acts,Commission implementing regulations,basic,0,2025-07-01 00:02:53
