year,month,category,act_type,type,count
1990,2,Implementing acts,Commission implementing regulations,amending,0
1990,2,Implementing acts,Commission implementing directives,basic,0
1990,2,Implementing acts,Commission implementing directives,amending,0
1990,2,Implementing acts,Commission implementing decisions,basic,0
1990,2,Implementing acts,Commission implementing decisions,amending,0
1990,2,Other acts,Commission regulations,basic,40
1990,2,Other acts,Commission regulations,amending,19
1990,2,Other acts,Commission directives,basic,1
1990,2,Other acts,Commission directives,amending,4
1990,2,Other acts,Commission decisions,basic,20
1990,2,Other acts,Commission decisions,amending,11
1990,2,Other acts,European Central Bank regulations,basic,0
1990,2,Other acts,European Central Bank regulations,amending,0
1990,2,Other acts,European Central Bank decisions,basic,0
1990,2,Other acts,European Central Bank decisions,amending,0
1990,2,Other acts,European Central Bank guidelines****,basic,0
1990,2,Other acts,European Central Bank guidelines****,amending,0
1990,2,Other acts,European Central Bank recommendations,basic,0
1990,2,Other acts,European Central Bank recommendations,amending,0
1990,2,Other acts,European Central Bank opinions,basic,0
1990,2,Other acts,European Central Bank opinions,amending,0
1990,3,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,basic,0
1990,3,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,amending,0
1990,3,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,basic,0
1990,3,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,amending,0
1990,3,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,basic,0
1990,3,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,amending,0
1990,3,Other legislative acts,Council regulations,basic,17
1990,3,Other legislative acts,Council regulations,amending,10
1990,3,Other legislative acts,Council directives,basic,3
1990,3,Other legislative acts,Council directives,amending,2
1990,3,Other legislative acts,Council decisions,basic,13
1990,3,Other legislative acts,Council decisions,amending,8
1990,3,Non-legislative acts - Delegated acts,Commission delegated regulations,basic,0
1990,3,Non-legislative acts - Delegated acts,Commission delegated regulations,amending,0
1990,3,Non-legislative acts - Delegated acts,Commission delegated directives,basic,0
1990,3,Non-legislative acts - Delegated acts,Commission delegated directives,amending,0
1990,3,Non-legislative acts - Delegated acts,Commission delegated decisions,basic,0
1990,3,Non-legislative acts - Delegated acts,Commission delegated decisions,amending,0
1990,3,Implementing acts,Council implementing regulations,basic,0
1990,3,Implementing acts,Council implementing regulations,amending,0
1990,3,Implementing acts,Council implementing decisions,basic,0
1990,3,Implementing acts,Council implementing decisions,amending,0
1990,3,Implementing acts,Commission implementing regulations,basic,0
1990,3,Implementing acts,Commission implementing regulations,amending,0
1990,3,Implementing acts,Commission implementing directives,basic,0
1990,3,Implementing acts,Commission implementing directives,amending,0
1990,3,Implementing acts,Commission implementing decisions,basic,0
1990,3,Implementing acts,Commission implementing decisions,amending,0
1990,3,Other acts,Commission regulations,basic,58
1990,3,Other acts,Commission regulations,amending,26
1990,3,Other acts,Commission directives,basic,0
1990,3,Other acts,Commission directives,amending,0
1990,3,Other acts,Commission decisions,basic,33
1990,3,Other acts,Commission decisions,amending,6
1990,3,Other acts,European Central Bank regulations,basic,0
1990,3,Other acts,European Central Bank regulations,amending,0
1990,3,Other acts,European Central Bank decisions,basic,0
1990,3,Other acts,European Central Bank decisions,amending,0
1990,3,Other acts,European Central Bank guidelines****,basic,0
1990,3,Other acts,European Central Bank guidelines****,amending,0
1990,3,Other acts,European Central Bank recommendations,basic,0
1990,3,Other acts,European Central Bank recommendations,amending,0
1990,3,Other acts,European Central Bank opinions,basic,0
1990,3,Other acts,European Central Bank opinions,amending,0
1990,4,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,basic,0
1990,4,Legislative acts - Ordinary legislative procedure,Regulations of the European Parliament and of the Council,amending,0
1990,4,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,basic,0
1990,4,Legislative acts - Ordinary legislative procedure,Directives of the European Parliament and of the Council,amending,0
1990,4,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,basic,0
1990,4,Legislative acts - Ordinary legislative procedure,Decisions of the European Parliament and of the Council,amending,0
1990,4,Other legislative acts,Council regulations,basic,12
1990,4,Other legislative acts,Council regulations,amending,3
1990,4,Other legislative acts,Council directives,basic,2
1990,4,Other legislative acts,Council directives,amending,1
1990,4,Other legislative acts,Council decisions,basic,5
1990,4,Other legislative acts,Council decisions,amending,5
1990,4,Non-legislative acts - Delegated acts,Commission delegated regulations,basic,0
1990,4,Non-legislative acts - Delegated acts,Commission delegated regulations,amending,0
1990,4,Non-legislative acts - Delegated acts,Commission delegated directives,basic,0
1990,4,Non-legislative acts - Delegated acts,Commission delegated directives,amending,0
1990,4,Non-legislative acts - Delegated acts,Commission delegated decisions,basic,0
1990,4,Non-legislative acts - Delegated acts,Commission delegated decisions,amending,0
1990,4,Implementing acts,Council implementing regulations,basic,0
1990,4,Implementing acts,Council implementing regulations,amending,0
1990,4,Implementing acts,Council implementing decisions,basic,0
1990,4,Implementing acts,Council implementing decisions,amending,0
1990,4,Implementing acts,Commission implementing regulations,basic,0
